symbol,expiration,stock_price,strike,ask_price,yield_percent,bid_price,volume,open_interest
APP,2025-01-03,333.57,325.0,7.1,2.18,6.4,107.0,67.0
APP,2025-01-03,333.57,327.5,8.1,2.47,7.4,76.0,22.0
APP,2025-01-10,333.57,307.5,6.3,2.05,5.5,21.0,22.0
APP,2025-01-10,333.57,317.5,9.2,2.9,8.4,17.0,12.0
APP,2025-01-10,333.57,320.0,10.4,3.25,9.2,28.0,27.0
APP,2025-01-10,333.57,322.5,11.2,3.47,10.1,16.0,13.0
APP,2025-01-10,333.57,325.0,12.4,3.82,11.2,15.0,23.0
CRWD,2025-01-10,354.99,350.0,7.35,2.1,6.65,65.0,185.0
ENPH,2025-01-10,72.13,68.0,1.38,2.03,1.26,95.0,39.0
ENPH,2025-01-10,72.13,69.0,1.7,2.46,1.57,18.0,55.0
ENPH,2025-01-10,72.13,70.0,2.22,3.17,1.95,27.0,64.0
GOOG,2025-01-10,193.98,190.0,4.5,2.37,0.3,500.0,408.0
HOOD,2025-01-10,38.94,36.5,0.91,2.49,0.74,25.0,351.0
HOOD,2025-01-10,38.94,37.0,1.09,2.95,0.89,131.0,499.0
HOOD,2025-01-10,38.94,37.5,1.26,3.36,1.05,54.0,344.0
MDB,2025-01-10,237.915,232.5,4.85,2.09,4.6,18.0,20.0
MDB,2025-01-10,237.915,235.0,6.3,2.68,5.55,468.0,54.0
MRVL,2025-01-10,113.77,111.0,2.53,2.28,2.37,15.0,931.0
MRVL,2025-01-10,113.77,112.0,2.85,2.54,2.75,108.0,270.0
MU,2025-01-10,88.65,87.0,1.77,2.03,1.71,85.0,269.0
MU,2025-01-10,88.65,88.0,2.21,2.51,2.13,950.0,361.0
NVDA,2025-01-10,136.62,133.0,2.85,2.14,2.6,2008.0,4359.0
NVDA,2025-01-10,136.62,134.0,3.05,2.28,2.94,1306.0,4921.0
ON,2025-01-10,66.01,65.0,1.61,2.48,1.4,49.0,192.0
SMCI,2025-01-03,31.85,30.0,0.61,2.03,0.52,2256.0,4282.0
SMCI,2025-01-03,31.85,30.5,0.74,2.43,0.66,783.0,855.0
SMCI,2025-01-10,31.85,28.0,0.71,2.54,0.64,60.0,321.0
SMCI,2025-01-10,31.85,28.5,0.82,2.88,0.75,68.0,40.0
SMCI,2025-01-10,31.85,29.0,0.94,3.24,0.78,68.0,236.0
SMCI,2025-01-10,31.85,29.5,1.09,3.69,0.95,16.0,14.0
SMCI,2025-01-10,31.85,30.0,1.25,4.17,1.13,520.0,1949.0
SMCI,2025-01-10,31.85,30.5,1.46,4.79,1.29,46.0,24.0
ZS,2025-01-10,184.61,182.5,4.05,2.22,3.9,63.0,12.0
